VALUATION_DATE,PRODUCT_TYPE,RISK_TYPE,GREEK_TYPE,RIDER_VALUE,ASSET_VALUE
20240506,DBIB,Equity,Delta,13.4,-14.1
20240506,DBIB,Equity,Gamma_Residual,0.1,0.0
20240506,DBIB,Interest_Rate,,-9.3,8.4
20240506,DBIB,Interest_Rate,Rho,-9.2,9.0
20240506,DBIB,Interest_Rate,Convexity_Residual,-0.1,0.0
20240506,DBIB,Interest_Rate,Basis,0.0,-0.6
20240506,DBIB,Credit,,0.1,-0.2
20240506,DBIB,Credit,HY_Total,0.2,-0.2
20240506,DBIB,Credit,AGG_Credit,0.2,0.0
20240506,DBIB,Credit,Agg_Risk_Free_Growth,-0.2,0.0
20240506,DBIB,Credit,ILP_Update,0.0,0.0
20240506,DBIB,Fund_Basis_Fund_Mapping,,2.3,0.0
20240506,DBIB,Passage_Of_Time,,-0.7,-0.1
20240506,DBIB,Other_Inforce,,0.7,0.0
20240506,DBIB,New_Business,,0.0,0.0
20240506,DBIB,Cross_Impact_True_up,,0.1,0.0
